iter	MultiClass
0	1.521728187
1	1.453050206
2	1.398111603
3	1.353180003
4	1.316198483
5	1.283346741
6	1.255213449
7	1.231037808
8	1.211950607
9	1.19371777
10	1.177068213
11	1.16319792
12	1.150201302
13	1.13888982
14	1.129533174
15	1.120844415
16	1.113396683
17	1.106014426
18	1.099370128
19	1.093526645
20	1.088770958
21	1.084010141
22	1.08023685
23	1.076295551
24	1.07281929
25	1.070050632
26	1.066756094
27	1.063560745
28	1.061644458
29	1.058988978
30	1.057214096
31	1.055322502
32	1.053328325
33	1.051446706
34	1.049782884
35	1.0481139
36	1.046618824
37	1.045202476
38	1.043840877
39	1.042963583
40	1.041707408
41	1.040525688
42	1.039420862
43	1.038150172
44	1.037154409
45	1.036357435
46	1.035965829
47	1.034738813
48	1.034123255
49	1.033334504
50	1.032605548
51	1.03158582
52	1.030979796
53	1.030387884
54	1.029975553
55	1.029297646
56	1.028587869
57	1.027653555
58	1.026927938
59	1.026644031
60	1.02639494
61	1.025596542
62	1.025175879
63	1.024924237
64	1.024501489
65	1.024116306
66	1.023750445
67	1.023375521
68	1.022952787
69	1.02266562
70	1.02209683
71	1.021926919
72	1.021099163
73	1.020845928
74	1.020573243
75	1.020057346
76	1.019755689
77	1.019375319
78	1.019007554
79	1.018519974
80	1.01831047
81	1.017931197
82	1.017560811
83	1.017265354
84	1.017108868
85	1.016686911
86	1.016437339
87	1.016361443
88	1.016035743
89	1.015760687
90	1.015406581
91	1.015167682
92	1.014801969
93	1.014512231
94	1.014152743
95	1.013734326
96	1.013414178
97	1.013261486
98	1.013069037
99	1.012930105
100	1.012656172
101	1.012490588
102	1.012347678
103	1.012177485
104	1.01169054
105	1.011470909
106	1.011144219
107	1.010646196
108	1.010382956
109	1.010118538
110	1.009877378
111	1.009432398
112	1.009108891
113	1.008917102
114	1.00870315
115	1.008496872
116	1.008263367
117	1.008043782
118	1.007910472
119	1.007646086
120	1.007390606
121	1.007133779
122	1.006977624
123	1.006761251
124	1.006567231
125	1.006211735
126	1.006039606
127	1.005769544
128	1.005473864
129	1.005306844
130	1.005077069
131	1.004709322
132	1.004598688
133	1.004354736
134	1.004159473
135	1.003892054
136	1.003670651
137	1.003518355
138	1.003317108
139	1.002981359
140	1.002568782
141	1.002280591
142	1.002047514
143	1.00161941
144	1.001375489
145	1.00123462
146	1.001046189
147	1.000816541
148	1.000465292
149	1.000297593
150	1.000183297
151	0.9999037626
152	0.9997029054
153	0.9994940152
154	0.9991851933
155	0.9989212396
156	0.9986774114
157	0.9983449366
158	0.9980848438
159	0.9978080454
160	0.9975538375
161	0.9972197769
162	0.9968846528
163	0.9966556602
164	0.9963336381
165	0.9961581086
166	0.9959173896
167	0.9956968462
168	0.9955412436
169	0.9952779739
170	0.9950728811
171	0.9949209858
172	0.9946823204
173	0.9943954681
174	0.9942371065
175	0.9940506548
176	0.9936924822
177	0.9935061957
178	0.9933118171
179	0.9931938138
180	0.9929689957
181	0.9928616934
182	0.9925361015
183	0.9924462459
184	0.9923622389
185	0.9922017237
186	0.9920890815
187	0.9918839721
188	0.9916800363
189	0.991524628
190	0.9913480866
191	0.9911404088
192	0.9909569931
193	0.9907247
194	0.9904839396
195	0.9902537254
196	0.9900273171
197	0.9898789613
198	0.9897574008
199	0.989607936
200	0.9894566911
201	0.9892277606
202	0.9891196688
203	0.9889734265
204	0.9887884637
205	0.9885470737
206	0.988367411
207	0.9880980176
208	0.9878871626
209	0.9877024561
210	0.9875551451
211	0.9873438943
212	0.9871026383
213	0.9868929859
214	0.9867551429
215	0.9865776173
216	0.9864144894
217	0.9862621636
218	0.986092214
219	0.9858365272
220	0.9857203325
221	0.9855229348
222	0.9853700057
223	0.9852901871
224	0.985040398
225	0.9848648846
226	0.9847004543
227	0.9845371019
228	0.9842787346
229	0.9841355538
230	0.9839779361
231	0.9839034052
232	0.9836935685
233	0.9835650092
234	0.9834032561
235	0.9832705697
236	0.983133142
237	0.9828539823
238	0.9826969756
239	0.9825196243
240	0.9823809344
241	0.982288419
242	0.9820085866
243	0.981969523
244	0.9817560371
245	0.9814554606
246	0.9812641441
247	0.9810213085
248	0.9808554225
249	0.9806541752
250	0.9804115358
251	0.9803115037
252	0.9802163466
253	0.9799955261
254	0.9798261855
255	0.9796666044
256	0.9795365721
257	0.9794236055
258	0.9792849929
259	0.9791298828
260	0.9790361034
261	0.9789365922
262	0.9787444826
263	0.9786087792
264	0.9783857647
265	0.9782468124
266	0.978024615
267	0.9778345596
268	0.9776359808
269	0.9774811913
270	0.9772705743
271	0.9771561521
272	0.9770395419
273	0.9768800052
274	0.9767646323
275	0.9765732077
276	0.9764711342
277	0.976328994
278	0.9762572226
279	0.9761307729
280	0.975948548
281	0.975861034
282	0.9756427681
283	0.9755077787
284	0.9752946398
285	0.9751938783
286	0.9750851744
287	0.974951876
288	0.9748581424
289	0.9746976646
290	0.9745432843
291	0.9743875853
292	0.9743126887
293	0.9741731253
294	0.9739707853
295	0.9737337705
296	0.9735347471
297	0.9733779048
298	0.9732593726
299	0.9731447873
