iter	Passed	Remaining
0	43	12865
1	80	11920
2	113	11278
3	149	11033
4	180	10675
5	216	10598
6	249	10440
7	281	10274
8	312	10097
9	343	9969
10	375	9866
11	406	9751
12	436	9642
13	467	9555
14	506	9628
15	542	9625
16	580	9656
17	613	9609
18	645	9548
19	680	9522
20	724	9625
21	766	9686
22	810	9757
23	843	9704
24	875	9632
25	911	9608
26	965	9757
27	1003	9750
28	1036	9683
29	1069	9625
30	1103	9575
31	1136	9520
32	1168	9451
33	1201	9402
34	1234	9343
35	1268	9300
36	1304	9272
37	1335	9208
38	1369	9163
39	1401	9110
40	1434	9060
41	1464	8994
42	1493	8923
43	1522	8859
44	1551	8792
45	1581	8732
46	1608	8660
47	1645	8639
48	1676	8588
49	1715	8578
50	1753	8562
51	1799	8582
52	1825	8508
53	1854	8447
54	1885	8398
55	1916	8350
56	1946	8300
57	1980	8261
58	2010	8211
59	2039	8159
60	2067	8098
61	2094	8039
62	2124	7993
63	2151	7935
64	2184	7899
65	2212	7845
66	2242	7799
67	2271	7750
68	2304	7716
69	2332	7665
70	2362	7618
71	2389	7566
72	2422	7533
73	2452	7488
74	2480	7441
75	2512	7404
76	2541	7361
77	2574	7326
78	2605	7290
79	2634	7245
80	2666	7209
81	2703	7187
82	2743	7173
83	2776	7139
84	2809	7107
85	2838	7063
86	2867	7021
87	2895	6976
88	2927	6939
89	2956	6898
90	2988	6863
91	3016	6819
92	3047	6784
93	3078	6745
94	3107	6706
95	3138	6668
96	3170	6634
97	3196	6588
98	3225	6548
99	3253	6506
100	3281	6465
101	3313	6431
102	3343	6394
103	3371	6353
104	3404	6322
105	3435	6287
106	3464	6248
107	3495	6214
108	3523	6174
109	3553	6138
110	3583	6101
111	3613	6066
112	3645	6032
113	3675	5996
114	3710	5969
115	3746	5943
116	3782	5916
117	3812	5880
118	3840	5842
119	3871	5807
120	3900	5769
121	3928	5731
122	3957	5695
123	3987	5659
124	4015	5621
125	4046	5588
126	4076	5553
127	4106	5517
128	4135	5482
129	4163	5443
130	4194	5411
131	4225	5378
132	4254	5342
133	4284	5308
134	4314	5272
135	4347	5242
136	4377	5207
137	4405	5171
138	4435	5137
139	4463	5101
140	4494	5068
141	4523	5032
142	4555	5001
143	4584	4966
144	4617	4936
145	4647	4901
146	4685	4877
147	4724	4851
148	4762	4826
149	4794	4794
150	4821	4757
151	4852	4724
152	4883	4691
153	4913	4657
154	4942	4623
155	4969	4587
156	5000	4554
157	5032	4523
158	5061	4488
159	5090	4454
160	5121	4421
161	5154	4391
162	5184	4357
163	5212	4322
164	5245	4291
165	5273	4257
166	5302	4223
167	5333	4190
168	5363	4157
169	5397	4127
170	5430	4096
171	5459	4062
172	5488	4029
173	5517	3995
174	5548	3962
175	5578	3930
176	5610	3898
177	5639	3865
178	5675	3836
179	5707	3805
180	5744	3776
181	5774	3744
182	5807	3712
183	5837	3680
184	5864	3645
185	5893	3612
186	5924	3580
187	5958	3549
188	5986	3515
189	6016	3483
190	6046	3450
191	6076	3418
192	6107	3385
193	6137	3353
194	6167	3321
195	6200	3289
196	6230	3257
197	6262	3226
198	6291	3193
199	6320	3160
200	6350	3127
201	6384	3097
202	6417	3066
203	6446	3033
204	6477	3001
205	6507	2969
206	6537	2937
207	6569	2905
208	6599	2873
209	6637	2844
210	6675	2815
211	6711	2785
212	6747	2756
213	6778	2724
214	6807	2691
215	6839	2659
216	6867	2626
217	6898	2594
218	6928	2562
219	6960	2530
220	6986	2497
221	7019	2466
222	7053	2435
223	7081	2402
224	7111	2370
225	7141	2338
226	7170	2305
227	7199	2273
228	7229	2241
229	7259	2209
230	7289	2177
231	7319	2145
232	7351	2114
233	7379	2081
234	7411	2050
235	7442	2018
236	7479	1988
237	7510	1956
238	7542	1925
239	7571	1892
240	7602	1861
241	7635	1829
242	7673	1800
243	7708	1769
244	7744	1738
245	7776	1707
246	7806	1674
247	7835	1643
248	7866	1611
249	7897	1579
250	7927	1547
251	7954	1515
252	7984	1483
253	8016	1451
254	8046	1419
255	8076	1388
256	8106	1356
257	8136	1324
258	8167	1292
259	8199	1261
260	8226	1229
261	8253	1197
262	8286	1165
263	8316	1134
264	8345	1102
265	8375	1070
266	8406	1039
267	8437	1007
268	8469	975
269	8500	944
270	8532	913
271	8560	881
272	8589	849
273	8619	817
274	8652	786
275	8690	755
276	8725	724
277	8758	693
278	8785	661
279	8815	629
280	8846	598
281	8875	566
282	8904	534
283	8931	503
284	8963	471
285	8992	440
286	9023	408
287	9055	377
288	9086	345
289	9113	314
290	9142	282
291	9175	251
292	9203	219
293	9232	188
294	9263	157
295	9293	125
296	9327	94
297	9359	62
298	9390	31
299	9420	0
